"variable","level","count","share"
"rate1_1a_code",1,8736,0.2427
"rate1_1a_code",2,9024,0.2507
"rate1_1a_code",3,9088,0.2524
"rate1_1a_code",4,9152,0.2542
"rate1_1b_code",1,8976,0.2493
"rate1_1b_code",2,9648,0.268
"rate1_1b_code",3,8592,0.2387
"rate1_1b_code",4,8784,0.244
"rate1_2a_code",1,9088,0.2524
"rate1_2a_code",2,8496,0.236
"rate1_2a_code",3,8960,0.2489
"rate1_2a_code",4,9456,0.2627
"rate1_2b_code",1,8976,0.2493
"rate1_2b_code",2,9056,0.2516
"rate1_2b_code",3,8832,0.2453
"rate1_2b_code",4,9136,0.2538
"rate1_3a_code",1,8400,0.2333
"rate1_3a_code",2,9168,0.2547
"rate1_3a_code",3,8992,0.2498
"rate1_3a_code",4,9440,0.2622
"rate1_3b_code",1,8704,0.2418
"rate1_3b_code",2,9472,0.2631
"rate1_3b_code",3,9200,0.2556
"rate1_3b_code",4,8624,0.2396
"rate1_4a_code",1,9312,0.2587
"rate1_4a_code",2,8864,0.2462
"rate1_4a_code",3,8928,0.248
"rate1_4a_code",4,8896,0.2471
"rate1_4b_code",1,9328,0.2591
"rate1_4b_code",2,8704,0.2418
"rate1_4b_code",3,8960,0.2489
"rate1_4b_code",4,9008,0.2502
"rate1_5a_code",1,8848,0.2458
"rate1_5a_code",2,9088,0.2524
"rate1_5a_code",3,9216,0.256
"rate1_5a_code",4,8848,0.2458
"rate1_5b_code",1,8896,0.2471
"rate1_5b_code",2,8704,0.2418
"rate1_5b_code",3,9376,0.2604
"rate1_5b_code",4,9024,0.2507
"rate1_6a_code",1,8736,0.2427
"rate1_6a_code",2,8944,0.2484
"rate1_6a_code",3,9264,0.2573
"rate1_6a_code",4,9056,0.2516
"rate1_6b_code",1,9472,0.2631
"rate1_6b_code",2,9008,0.2502
"rate1_6b_code",3,8336,0.2316
"rate1_6b_code",4,9184,0.2551
"rate1_7a_code",1,9104,0.2529
"rate1_7a_code",2,8976,0.2493
"rate1_7a_code",3,8512,0.2364
"rate1_7a_code",4,9408,0.2613
"rate1_7b_code",1,8496,0.236
"rate1_7b_code",2,9088,0.2524
"rate1_7b_code",3,8880,0.2467
"rate1_7b_code",4,9536,0.2649
"rate1_8a_code",1,9072,0.252
"rate1_8a_code",2,9312,0.2587
"rate1_8a_code",3,9120,0.2533
"rate1_8a_code",4,8496,0.236
"rate1_8b_code",1,8864,0.2462
"rate1_8b_code",2,9120,0.2533
"rate1_8b_code",3,9600,0.2667
"rate1_8b_code",4,8416,0.2338
"rate2_1a_code",1,8816,0.2449
"rate2_1a_code",2,9216,0.256
"rate2_1a_code",3,8832,0.2453
"rate2_1a_code",4,9136,0.2538
"rate2_1b_code",1,9184,0.2551
"rate2_1b_code",2,8976,0.2493
"rate2_1b_code",3,9232,0.2564
"rate2_1b_code",4,8608,0.2391
"rate2_2a_code",1,9520,0.2644
"rate2_2a_code",2,9360,0.26
"rate2_2a_code",3,8800,0.2444
"rate2_2a_code",4,8320,0.2311
"rate2_2b_code",1,8688,0.2413
"rate2_2b_code",2,9344,0.2596
"rate2_2b_code",3,9152,0.2542
"rate2_2b_code",4,8816,0.2449
"rate2_3a_code",1,9248,0.2569
"rate2_3a_code",2,9376,0.2604
"rate2_3a_code",3,8720,0.2422
"rate2_3a_code",4,8656,0.2404
"rate2_3b_code",1,8864,0.2462
"rate2_3b_code",2,9248,0.2569
"rate2_3b_code",3,9232,0.2564
"rate2_3b_code",4,8656,0.2404
"rate2_4a_code",1,8832,0.2453
"rate2_4a_code",2,8656,0.2404
"rate2_4a_code",3,8880,0.2467
"rate2_4a_code",4,9632,0.2676
