"Package","Version","LibPath","Built","requested_for_sw2022"
"sconjoint","0.3.0.9000","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.3",TRUE
"torch","0.16.3","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.2",TRUE
"testthat","3.3.2","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.2",TRUE
"qrng","0.0-11","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.2",TRUE
"randtoolbox","2.0.5","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.0",TRUE
"haven","2.5.5","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.0",TRUE
"data.table","1.18.4","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.2",TRUE
"future","1.75.0","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.2",TRUE
"future.apply","1.20.2","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.2",TRUE
"parallelly","1.48.0","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.2",TRUE
"withr","3.0.3","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.2",TRUE
"ggplot2","4.0.3","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.2",TRUE
"ggridges","0.5.7","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.0",TRUE
"glmnet","5.0","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.2",TRUE
"grf","2.6.1","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.2",TRUE
"lme4","2.0-6","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.2",TRUE
"patchwork","1.3.2","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.0",TRUE
"renv","1.2.4","/Users/avidit/Dropbox/Codex/Conjoint/sconjoint-mixed-logit/.R-library/4.5","4.5.2",TRUE
