"respondent_id","tasks","profile_rows","finished","progress","all_primary_demographics_missing","primary_demographics_valid","final_analysis_sample","exclusion_reason"
"R_02LtLl5av6RqSoV",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_02Ovf3u8rVgHH1L",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_0IcPAZ17Wz5YMmZ",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_0Nbk0VrjGIe0OWJ",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_0OJKdFonuDMH9jv",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_0c7nzjtPbGnlku5",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_0i8IfS0nWeLOOJj",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_0jG80dv472mj0NX",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_0puQ4VO2GtgmTOV",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_10C9TVuFosWPNpD",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_10Nlsk7bbq8ZbkQ",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_10YhpE4rPTwiQUb",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_111NMzhKROIwB8o",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_11ZTSOblhFc9Um8",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_11aOblsbJDxxHQE",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_11cQV08eEOxed0P",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_11hJf6WxW4d9pnb",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_12093CZ8DEiXK8M",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_125ZJxPDgHGLDEz",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_129AoCEU5MEyG6k",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_12J46rkHhEJV3Up",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_12KCWJP3gC7Chmm",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_12L94FvYZ5yy6TN",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_12ROcKrB4kbFB1q",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_12bCeKFjYoiA0yI",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_12hbHUMt6UaJ4eb",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_12lizcmNXfPIjHz",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_12m4FxM4zkxhexR",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_12mvd6FHtcuL09Y",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_12oqMYJUsJVMIDJ",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_12zlBj0FvmWVLp0",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1BWWEjVZsPSgznB",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1C2qlJKX9zyCt2A",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1CBCsWpk9lc8yhi",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1CKnkNNorl71FXU",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Cg5FKZuFhdplMe",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1CpAfEoOK0cFusA",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1DChGdA4xaDNVEO",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1DHg4irsuEtViYc",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1DSGd65LvzLrB3C",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1DShX2vfWta4qf7",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1DUT04XvajjbAuF",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1DVdyoAkFV7craH",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1DoS5mDcUUAOi5d",3,6,FALSE,78,TRUE,FALSE,FALSE,"invalid_primary_gender+age+income+education+party+region+employment"
"R_1Dx0OU7eC4FUUB0",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1E9ZFwvgPSKR7lr",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Eb1ICVZFhabJYn",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1EcDqAX60EsSZf8",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Egogpg1grGtgYU",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Eh5GPQU0Wo5iFm",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1F53oPTZw1iXBgv",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1FEOSjhOKTMEYh7",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1FK8nqTK4av38Lx",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1FaLeQM3SO3VUPa",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1FaccsaqibRXmeo",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1FkShFSJapryBOQ",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1FmFJcnq6EvTkAN",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1FmqjJ8J0QkpWfw",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1FncJ0X4CMo6une",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1FqAd4LcqJ1t8ci",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1FwBJpHD9AJsTdG",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1FzifQQECRrUpcn",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1GHMMeKRsAmRnw4",3,6,TRUE,100,TRUE,FALSE,FALSE,"invalid_primary_gender+age+income+education+party+region+employment"
"R_1GQDAwE0pqLOpEN",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1GUrAYAY3Z2aiHS",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1H77vcFk2xrztHa",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1HdeCh6HYc3psEC",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Heg003AYkrit8m",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Hix2CEquR72Y1n",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1I7aE2kLnEkAaMr",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1IEma5ghkwnIXip",3,6,TRUE,100,TRUE,FALSE,FALSE,"invalid_primary_gender+age+income+education+party+region+employment"
"R_1IKqtESoRFTtxbz",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1IRXhg1qXSxVU16",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1IRi6CqKQpkaBa8",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1ITabWX3CGdD2MG",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1IWCd9uDqgYIWwP",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1IjbjdUm25yY9KK",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1IoXEZvR5mSkoKw",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1IrODQAHiuQRL81",3,6,TRUE,100,TRUE,FALSE,FALSE,"invalid_primary_gender+age+income+education+party+region+employment"
"R_1IsLtChziYDpXph",3,6,TRUE,100,TRUE,FALSE,FALSE,"invalid_primary_gender+age+income+education+party+region+employment"
"R_1IsjHxqQ9KxLlzz",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1JIsuDDRcVcq03F",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1JJvzfmriyd8FTC",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1JRvjDqXRWo6PTj",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1JVfRNmmQRIoOfu",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1JWUjZ2MLbVqL4B",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1K0uJdrb9MOw2N1",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1KdPDGOotmtkeyU",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1KgcPxqIk4g8Nhx",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1KiEZ1uPDSSCC6s",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Kj3WlPowNqzYRd",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Kkj9QElP5vVTMo",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Kmapnq3B6BksWn",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1KqDN4kWw9qa2T3",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Kr3iU66KHihnZU",3,6,TRUE,100,TRUE,FALSE,FALSE,"invalid_primary_gender+age+income+education+party+region+employment"
"R_1LEe2Ddt7tgqJod",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1LNYqj0Wg74Z6CJ",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1LO2IZxC1PTo3i1",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1LSu0eIYCDhzBBF",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1LeCj7oZld0IUeT",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1M58P0nLUPUjjGu",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1M5SjGL608atGwH",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1M6SMC74i4jwMSu",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1MQwAnTfnQV77jP",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1N1VzR5X4TfQzrZ",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1N2IUBmFbh8FCiF",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1NCxruetSEURs0J",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1NEf3vAQiCQg9Fj",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1NEnKe0ya9oZJ6a",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1NbivaIzV1WvOlB",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1NelG9mc4z9V3Bj",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Nk4Qh3fynMByQH",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Nyr4feqfnbALaL",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Nz7QWWTfTRqyKH",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1NzicWIc8gITOOS",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1OIELeo3fRT9Jwo",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1OIdSRXfUTvlnpq",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1OMJIDvP9zFWDxu",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1ONNMpV82IGlwFM",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1OPFkNCKdrWf21T",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1OV2XaoXsutbrc1",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1OZ8Bnk98r88K3m",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1OZxfl0mkkGnP6v",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1OpB9WtVoNGM1pc",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1OvEwWvVZE1cfaP",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1OvpkfEwskSWHNJ",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1P11tGzA5zsm0qE",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1P1AzrACiR5Bs2S",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1PT0xG3b7nlX6Iv",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1PY2RstkQUnzSci",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Q5U1IUQoVVHrvJ",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1Q9jX0O1pOaaccW",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1QAB6vUFRGzZZpT",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1QDWSkxd692808w",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1QGATzXwBPpTn99",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
"R_1QKLr2uDSmpmRHv",3,6,TRUE,100,TRUE,FALSE,FALSE,"invalid_primary_gender+age+income+education+party+region+employment"
"R_1QfpYduQei4iMSZ",3,6,TRUE,100,FALSE,TRUE,TRUE,"included"
