"diagnostic","value","interpretation"
"profile basis dimension",13,"13 reference-coded profile coordinates"
"theoretical profiles",336,"2 x 2 x 7 x 3 x 4"
"theoretical distinct contrasts including zero",35217,"ordered profile differences collapsed to unique d"
"C* nonzero witnesses",91,"13 units + 19 within-block differences + 59 across-block sums"
"rank of [1,C*]",14,"full intercept/mean span"
"rank of symmetric quadratic map on C*",91,"full 13(13+1)/2 covariance span"
"realized distinct contrast cells",3087,"empirical support is sparse relative to theoretical support"
"realized singleton cells",2718,"cells observed once in 3,573 analysis tasks"
"realized zero-contrast tasks",15,"candidate profiles have identical 13-coordinate coding"
"within-respondent repeated contrasts",1,"one respondent contributes the only exact repeated contrast pair"
"within-respondent repeated C* contrasts",0,"no C* contrast is repeated within a respondent"
