"item","value"
"fielded randomizer/QSF available","no"
"assignment probabilities verified","no"
"cross-task positive-support rule verified","no"
"article-level design claim","five profile attributes described as independently randomized, without combination restrictions"
"theoretical rank conclusion","C* gives rank 14 for [1,d] and rank 91 for the symmetric quadratic map; hence covariance injectivity, conditionally, for every q<=12"
"uniform probability status","illustrative sensitivity only; not treated as known protocol probability"
"smallest C* uniform per-task probability","0.000106292517007"
"largest C* uniform per-task probability","0.0014880952381"
"smallest C* uniform same-contrast two-task probability","0.0000000112980991716"
"largest C* uniform same-contrast two-task probability","0.00000221442743764"
