"coordinate","name","attribute","level","reference"
1,"cand_genderMale","candidate gender","Male","Female"
2,"cand_runYes","prior run","Yes","No"
3,"cand_talentCollaborative","talent","Collaborative","Assertive"
4,"cand_talentDetermined.to.Succeed","talent","Determined to Succeed","Assertive"
5,"cand_talentEmpathetic","talent","Empathetic","Assertive"
6,"cand_talentGood.Communicator","talent","Good Communicator","Assertive"
7,"cand_talentHard.Working","talent","Hard-Working","Assertive"
8,"cand_talentTough.Negotiator","talent","Tough Negotiator","Assertive"
9,"cand_agendaModerate.Changes","agenda","Moderate Changes","Very Few Changes"
10,"cand_agendaComplete.Overhaul","agenda","Complete Overhaul","Very Few Changes"
11,"cand_child1.child","children","1 child","No children"
12,"cand_child2.children","children","2 children","No children"
13,"cand_child3.children","children","3 children","No children"
